Epoch_15,Epoch_24,Epoch_37,Epoch_59
Vampire in New York,Love at First Sight,Year 62,The Art of Charm
GoT.,Sabrina: You've Lost Your Way,Year 90,"Farewell, Cursed Child"
Farewell .,The Truth About Cats,Year 113,Stratagemaster
Rendezvous at Last.,No.,Year 24,Ride with Me
Rendezvous at Last,Sabrina's Lie,Year 163,The Oil Blue
When You See Jon Snow.,Rough Magic.,Year 168,And God Is High
Romeo Don Julio: A Novel.,Sabrina on Top,Year 18,Clu'oi
Name.,Sabrina's Promise,Year 139,"1,900"
Farewell to Paris: A Novel.,When Harry Met Sally,Year 141,Farewell Myself
Vampire in the Dark.,The Chimes,Year 160,Pal
A Walk on the Moon.,A Smile Conquered,Year 114,Haight-Moon
The Purple Rose Garden,Violets Are Magic,Year 126,And God Be Shabazz
Pauper.,Sabrina: Sister Abigail,Year 148,Lost and Found
Farewell and Prospero: A Novel.,Rendezvous,Year 10,Clu'er Tel Aviv
Pulp Fiction.,Sabrina's Star,Year 68,And Away
